id,track_id,source,source_url,source_track_id,bpm,musical_key,camelot_key,genre,label,release_title,release_date,confidence,raw_json,fetched_at
38,1832,beatport,https://www.beatport.com/track/somewhere-else/28328612,28328612,130,C Minor,5A,Dance / Pop,Fontana,,2026-04-01,manual-search-result,"{""url"": ""https://www.beatport.com/track/somewhere-else/28328612"", ""title"": ""SOMEWHERE ELSE salute Remix"", ""rowText"": ""SOMEWHERE ELSE salute Remix Aurora, TOMORA, salute, Tom Rowlands Fontana Dance / Pop 130 BPM - C Minor 2026-04-01 $1.69""}",2026-05-26T00:23:02.592424+00:00
120,3121,beatport,https://www.beatport.com/track/friday-high-/28527164,28527164,128,Gb Major,2B,Tech House,Moon Harbour Recordings,,2026-05-01,manual-search-result,"{""url"": ""https://www.beatport.com/track/friday-high-/28527164"", ""title"": ""Friday High Extended Version"", ""rowText"": ""Friday High Extended Version Matthias Tanzmann Moon Harbour Recordings Tech House 128 BPM - Gb Major 2026-05-01 $1.69""}",2026-06-03T20:33:15.601883+00:00
121,3122,beatport,https://www.beatport.com/track/break-it-down/28647658,28647658,130,E Minor,9A,House,LTF Records,,2026-05-01,manual-search-result,"{""url"": ""https://www.beatport.com/track/break-it-down/28647658"", ""title"": ""Break It Down Original Mix"", ""rowText"": ""Break It Down Original Mix Chinonegro, Rob The Bank LTF Records House 130 BPM - E Minor 2026-05-01 $1.69""}",2026-06-03T20:33:50.576801+00:00
122,3123,beatport,https://www.beatport.com/track/cambio/28468542,28468542,130,D Minor,7A,Minimal / Deep Tech | Deep Tech,Deeperfect,,2026-05-01,manual-search-result,"{""url"": ""https://www.beatport.com/track/cambio/28468542"", ""title"": ""Cambio Original Mix"", ""rowText"": ""Cambio Original Mix Marian (BR) Deeperfect Minimal / Deep Tech | Deep Tech 130 BPM - D Minor 2026-05-01 $1.69""}",2026-06-03T20:34:26.580547+00:00
123,3124,beatport,https://www.beatport.com/track/freaky-housy/28647659,28647659,130,C Minor,5A,House,LTF Records,,2026-05-01,manual-search-result,"{""url"": ""https://www.beatport.com/track/freaky-housy/28647659"", ""title"": ""Freaky Housy Original Mix"", ""rowText"": ""Freaky Housy Original Mix Chinonegro, Rob The Bank LTF Records House 130 BPM - C Minor 2026-05-01 $1.69""}",2026-06-03T20:35:02.335471+00:00
124,3126,beatport,https://www.beatport.com/track/break-it-up/28695431,28695431,128,G Minor,6A,House,Gettraum,,2026-05-01,manual-search-result,"{""url"": ""https://www.beatport.com/track/break-it-up/28695431"", ""title"": ""Break It Up Original Mix"", ""rowText"": ""Break It Up Original Mix Mateo Dufour Gettraum House 128 BPM - G Minor 2026-05-01 $1.69""}",2026-06-03T20:36:52.791526+00:00
125,3127,beatport,https://www.beatport.com/track/rocket-/28504253,28504253,128,F Major,7B,House,Cecille,,2026-05-01,manual-search-result,"{""url"": ""https://www.beatport.com/track/rocket-/28504253"", ""title"": ""Rocket Original Mix"", ""rowText"": ""Rocket Original Mix LondonGround, BizZa Cecille House 128 BPM - F Major 2026-05-01 $1.69""}",2026-06-03T20:37:28.854004+00:00
126,3128,beatport,https://www.beatport.com/track/deeper-down/28468540,28468540,129,Ab Major,4B,Minimal / Deep Tech | Deep Tech,Deeperfect,,2026-05-01,manual-search-result,"{""url"": ""https://www.beatport.com/track/deeper-down/28468540"", ""title"": ""Deeper Down Original Mix"", ""rowText"": ""Deeper Down Original Mix Marian (BR) Deeperfect Minimal / Deep Tech | Deep Tech 129 BPM - Ab Major 2026-05-01 $1.69""}",2026-06-03T20:38:04.016162+00:00
62,3367,beatport,https://www.beatport.com/track/bassline-/28618561,28618561,130,E Major,12B,Tech House,BANDIDOS,,2026-05-08,manual-search-result,"{""url"": ""https://www.beatport.com/track/bassline-/28618561"", ""title"": ""Bassline Original Mix"", ""rowText"": ""Bassline Original Mix DJ On BANDIDOS Tech House 130 BPM - E Major 2026-05-08 $1.69""}",2026-05-29T16:51:34.422313+00:00
63,3368,beatport,https://www.beatport.com/track/two-people/20396617,20396617,128,Bb Minor,3A,Tech House,UNCOMMON,,2025-05-09,manual-search-result,"{""url"": ""https://www.beatport.com/track/two-people/20396617"", ""title"": ""Two People Extended Mix"", ""rowText"": ""Two People Extended Mix Dujak, Puhska UNCOMMON Tech House 128 BPM - Bb Minor 2025-05-09 $1.49""}",2026-05-29T16:52:21.605211+00:00
